"Time","bio tomaten"
"2021-03-01",70
"2021-04-01",84
"2021-05-01",82
"2021-06-01",57
"2021-07-01",63
"2021-08-01",61
"2021-09-01",38
"2021-10-01",37
"2021-11-01",44
"2021-12-01",30
"2022-01-01",67
"2022-02-01",72
"2022-03-01",79
"2022-04-01",64
"2022-05-01",86
"2022-06-01",54
"2022-07-01",67
"2022-08-01",66
"2022-09-01",47
"2022-10-01",37
"2022-11-01",48
"2022-12-01",32
"2023-01-01",61
"2023-02-01",62
"2023-03-01",84
"2023-04-01",78
"2023-05-01",78
"2023-06-01",81
"2023-07-01",83
"2023-08-01",61
"2023-09-01",56
"2023-10-01",43
"2023-11-01",42
"2023-12-01",29
"2024-01-01",59
"2024-02-01",77
"2024-03-01",78
"2024-04-01",85
"2024-05-01",100
"2024-06-01",62
"2024-07-01",72
"2024-08-01",73
"2024-09-01",56
"2024-10-01",53
"2024-11-01",53
"2024-12-01",39
"2025-01-01",69
"2025-02-01",75
"2025-03-01",84
"2025-04-01",89
"2025-05-01",90
"2025-06-01",80
"2025-07-01",82
"2025-08-01",84
"2025-09-01",66
"2025-10-01",53
"2025-11-01",42
"2025-12-01",56
"2026-01-01",71
"2026-02-01",86
"2026-03-01",96
